6VNX,"('R4V', 'Binding MOAD:\xa0 6VNX', 'IC50:&nbsp29\xa0(nM) from 1 assay(s)')"
6VNY,"('R4S', 'Binding MOAD:\xa0 6VNY', 'IC50:&nbsp139\xa0(nM) from 1 assay(s)')"
6VOV,"('R6D', 'BindingDB:\xa0 6VOV', 'IC50:&nbspmin: 6.2, max: 13.5\xa0(nM) from 2 assay(s)')"
6VQL,"('R7S', 'Binding MOAD:\xa0 6VQL', 'IC50:&nbsp2.4\xa0(nM) from 1 assay(s)')"
6VRE,"('RFG', 'Binding MOAD:\xa0 6VRE', 'IC50:&nbsp21\xa0(nM) from 1 assay(s)')"
6VRH,"('8PR', 'BindingDB:\xa0 6VRH', 'Ki:&nbspmin: 0.02, max: 4.7\xa0(nM) from 24 assay(s)')"
6VUB,"('RLG', 'Binding MOAD:\xa0 6VUB', 'IC50:&nbsp6.29e+5\xa0(nM) from 1 assay(s)')"
6VUC,"('RLS', 'Binding MOAD:\xa0 6VUC', 'IC50:&nbsp1.44e+5\xa0(nM) from 1 assay(s)')"
6VUF,"('RLV', 'Binding MOAD:\xa0 6VUF', 'IC50:&nbsp1.47e+5\xa0(nM) from 1 assay(s)')"
6VUJ,"('RLY', 'Binding MOAD:\xa0 6VUJ', 'IC50:&nbsp3.52e+4\xa0(nM) from 1 assay(s)')"
6VWC,"('RQ7', 'Binding MOAD:\xa0 6VWC', 'Ki:&nbsp5\xa0(nM) from 1 assay(s)')"
6VXQ,"('RQS', 'Binding MOAD:\xa0 6VXQ', 'IC50:&nbsp3700\xa0(nM) from 1 assay(s)')"
6W06,"('S5M', 'Binding MOAD:\xa0 6W06', 'IC50:&nbsp142\xa0(nM) from 1 assay(s)')"
6W07,"('S9A', 'Binding MOAD:\xa0 6W07', 'IC50:&nbsp1\xa0(nM) from 1 assay(s)')"
6W0N,"('RYS', 'Binding MOAD:\xa0 6W0N', 'IC50:&nbsp410\xa0(nM) from 1 assay(s)')"
6W0X,"('S6J', 'Binding MOAD:\xa0 6W0X', 'IC50:&nbsp140\xa0(nM) from 1 assay(s)')"
6W0Z,"('S6D', 'Binding MOAD:\xa0 6W0Z', 'IC50:&nbsp10\xa0(nM) from 1 assay(s)')"
6W4Z,"('SZS', 'Binding MOAD:\xa0 6W4Z', 'Kd:&nbsp9170\xa0(nM) from 1 assay(s)')"
6W50,"('SWP', 'Binding MOAD:\xa0 6W50', 'Ki:&nbsp0.3\xa0(nM) from 1 assay(s)')"
6W58,"('SWS', 'Binding MOAD:\xa0 6W58', 'IC50:&nbsp3.9\xa0(nM) from 1 assay(s)')"
6W7F,"('Q3D', 'Binding MOAD:\xa0 6W7F', 'IC50:&nbsp0.2\xa0(nM) from 1 assay(s)')"
6W7G,"('Q3A', 'Binding MOAD:\xa0 6W7G', 'IC50:&nbsp0.5\xa0(nM) from 1 assay(s)')"
6W8H,"('TJG', 'Binding MOAD:\xa0 6W8H', 'IC50:&nbsp9.4\xa0(nM) from 1 assay(s)')"
6W8L,"('R4S', 'Binding MOAD:\xa0 6W8L', 'IC50:&nbsp774\xa0(nM) from 1 assay(s)')"
6WFG,"('U3V', 'Binding MOAD:\xa0 6WFG', 'IC50:&nbsp2700\xa0(nM) from 1 assay(s)')"
6WFK,"('U2J', 'Binding MOAD:\xa0 6WFK', 'Kd:&nbsp32\xa0(nM) from 1 assay(s)')"
6WFN,"('U2J', 'Binding MOAD:\xa0 6WFN', 'Kd:&nbsp27\xa0(nM) from 1 assay(s)')"
6WFO,"('U3Y', 'Binding MOAD:\xa0 6WFO', 'Kd:&nbsp470\xa0(nM) from 1 assay(s)')"
6WGX,"('U0D', 'Binding MOAD:\xa0 6WGX', 'IC50:&nbsp150\xa0(nM) from 1 assay(s)')"
6WJY,"('U41', 'Binding MOAD:\xa0 6WJY', 'IC50:&nbsp3.1\xa0(nM) from 1 assay(s)')"
6WNY,"('U64', 'Binding MOAD:\xa0 6WNY', 'IC50:&nbsp1.5\xa0(nM) from 1 assay(s)')"
6WOK,"('U6D', 'Binding MOAD:\xa0 6WOK', 'IC50:&nbsp1.6\xa0(nM) from 1 assay(s)')"
6WP5,"('FBP', 'Binding MOAD:\xa0 6WP5', 'Kd:&nbsp1000\xa0(nM) from 1 assay(s)')"
6WQ4,"('U7A', 'Binding MOAD:\xa0 6WQ4', 'Ki:&nbsp368.5\xa0(nM) from 1 assay(s)')"
6WQ5,"('U7G', 'Binding MOAD:\xa0 6WQ5', 'Ki:&nbsp57\xa0(nM) from 1 assay(s)')"
6WQ7,"('U6V', 'Binding MOAD:\xa0 6WQ7', 'Ki:&nbsp30.4\xa0(nM) from 1 assay(s)')"
6WQ8,"('U77', 'Binding MOAD:\xa0 6WQ8', 'Ki:&nbsp2.4\xa0(nM) from 1 assay(s)')"
6WQ9,"('U7J', 'Binding MOAD:\xa0 6WQ9', 'Ki:&nbsp72.5\xa0(nM) from 1 assay(s)')"
6WXZ,"('UEY', 'Binding MOAD:\xa0 6WXZ', 'IC50:&nbsp141\xa0(nM) from 1 assay(s)')"
6WY7,"('UFD', 'Binding MOAD:\xa0 6WY7', 'Kd:&nbsp5\xa0(nM) from 1 assay(s)')"
6X3N,"('ULV', 'Binding MOAD:\xa0 6X3N', 'IC50:&nbsp0.08\xa0(nM) from 1 assay(s)')"
6X3O,"('ULY', 'Binding MOAD:\xa0 6X3O', 'IC50:&nbsp0.21\xa0(nM) from 1 assay(s)')"
6X3P,"('UM4', 'Binding MOAD:\xa0 6X3P', 'IC50:&nbsp0.58\xa0(nM) from 1 assay(s)')"
6X3R,"('ZXX', 'Binding MOAD:\xa0 6X3R', 'Kd:&nbsp3.00e+4\xa0(nM) from 1 assay(s)')"
6X3Y,"('UMM', 'Binding MOAD:\xa0 6X3Y', 'Kd:&nbsp1.00e+4\xa0(nM) from 1 assay(s)')"
6X4M,"('UMM', 'Binding MOAD:\xa0 6X4M', 'Kd:&nbsp1.10e+4\xa0(nM) from 1 assay(s)')"
6X4N,"('UOD', 'Binding MOAD:\xa0 6X4N', 'Kd:&nbsp4\xa0(nM) from 1 assay(s)')"
6X4O,"('UO7', 'Binding MOAD:\xa0 6X4O', 'Kd:&nbsp10\xa0(nM) from 1 assay(s)')"
6X4P,"('UOG', 'Binding MOAD:\xa0 6X4P', 'Kd:&nbsp14\xa0(nM) from 1 assay(s)')"
6X4Q,"('UOJ', 'Binding MOAD:\xa0 6X4Q', 'Kd:&nbsp9\xa0(nM) from 1 assay(s)')"
6X5H,"('GDP', 'Binding MOAD:\xa0 6X5H', 'Ki:&nbsp3600\xa0(nM) from 1 assay(s)')"
6X5L,"('UQG', 'Binding MOAD:\xa0 6X5L', 'IC50:&nbsp44\xa0(nM) from 1 assay(s)')"
6X5P,"('UQD', 'Binding MOAD:\xa0 6X5P', 'IC50:&nbsp30\xa0(nM) from 1 assay(s)')"
6X7B,"('ZVP', 'Binding MOAD:\xa0 6X7B', 'IC50:&nbsp27\xa0(nM) from 1 assay(s)')"
6X7D,"('UT4', 'Binding MOAD:\xa0 6X7D', 'IC50:&nbsp388\xa0(nM) from 1 assay(s)')"
6X8E,"('UWP', 'Binding MOAD:\xa0 6X8E', 'IC50:&nbsp65\xa0(nM) from 1 assay(s)')"
6X8F,"('UWP', 'Binding MOAD:\xa0 6X8F', 'IC50:&nbsp10\xa0(nM) from 1 assay(s)')"
6X8G,"('UWM', 'Binding MOAD:\xa0 6X8G', 'IC50:&nbsp15\xa0(nM) from 1 assay(s)')"
6XDM,"('V1D', 'Binding MOAD:\xa0 6XDM', 'IC50:&nbsp0.1\xa0(nM) from 1 assay(s)')"
6XE4,"('V1G', 'Binding MOAD:\xa0 6XE4', 'IC50:&nbsp2.4\xa0(nM) from 1 assay(s)')"
6XNP,"('V67', 'Binding MOAD:\xa0 6XNP', 'IC50:&nbsp7800\xa0(nM) from 1 assay(s)')"
6XTA,"('O0Z', 'Binding MOAD:\xa0 6XTA', 'IC50:&nbsp2.8\xa0(nM) from 1 assay(s)')"
6XTK,"('TCW', 'Binding MOAD:\xa0 6XTK', 'Kd:&nbsp29\xa0(nM) from 1 assay(s)')"
6XU1,"('DZ4', 'Binding MOAD:\xa0 6XU1', 'Ki:&nbsp780\xa0(nM) from 1 assay(s)')"
6XUE,"('O1H', 'Binding MOAD:\xa0 6XUE', 'IC50:&nbsp19\xa0(nM) from 1 assay(s)')"
6XUG,"('O1Q', 'Binding MOAD:\xa0 6XUG', 'IC50:&nbsp12\xa0(nM) from 1 assay(s)')"
6XUH,"('O1B', 'Binding MOAD:\xa0 6XUH', 'Ki:&nbsp700\xa0(nM) from 1 assay(s)')"
6XUQ,"('O1T', 'Binding MOAD:\xa0 6XUQ', 'Ki:&nbsp88.4\xa0(nM) from 1 assay(s)')"
6XVA,"('O2K', 'Binding MOAD:\xa0 6XVA', 'IC50:&nbsp240\xa0(nM) from 1 assay(s)')"
6XVK,"('O3E', 'Binding MOAD:\xa0 6XVK', 'IC50:&nbsp538\xa0(nM) from 1 assay(s)')"
6XXK,"('SPD', 'Binding MOAD:\xa0 6XXK', 'Kd:&nbsp4000\xa0(nM) from 1 assay(s)')"
6XXT,"('O42', 'Binding MOAD:\xa0 6XXT', 'Ki:&nbsp3.7\xa0(nM) from 1 assay(s)')"
6XZE,"('O4Z', 'Binding MOAD:\xa0 6XZE', 'Ki:&nbsp24.6\xa0(nM) from 1 assay(s)')"
6XZO,"('O55', 'Binding MOAD:\xa0 6XZO', 'Ki:&nbsp138.4\xa0(nM) from 1 assay(s)')"
6XZS,"('O5K', 'Binding MOAD:\xa0 6XZS', 'Ki:&nbsp724.7\xa0(nM) from 1 assay(s)')"
6XZX,"('O5H', 'Binding MOAD:\xa0 6XZX', 'Ki:&nbsp928.3\xa0(nM) from 1 assay(s)')"
6XZY,"('O5N', 'Binding MOAD:\xa0 6XZY', 'Ki:&nbsp728\xa0(nM) from 1 assay(s)')"
6Y00,"('O5T', 'Binding MOAD:\xa0 6Y00', 'Ki:&nbsp653.8\xa0(nM) from 1 assay(s)')"
6Y9R,"('OH8', 'Binding MOAD:\xa0 6Y9R', 'IC50:&nbsp9\xa0(nM) from 1 assay(s)')"
6Y9S,"('OHK', 'Binding MOAD:\xa0 6Y9S', 'IC50:&nbsp72\xa0(nM) from 1 assay(s)')"
6YBG,"('OJT', 'Binding MOAD:\xa0 6YBG', 'Ki:&nbsp13\xa0(nM) from 1 assay(s)')"
6YBJ,"('OJW', 'Binding MOAD:\xa0 6YBJ', 'Ki:&nbsp0.86\xa0(nM) from 1 assay(s)')"
6YBK,"('OK2', 'Binding MOAD:\xa0 6YBK', 'Ki:&nbsp5\xa0(nM) from 1 assay(s)')"
6YBL,"('OK5', 'Binding MOAD:\xa0 6YBL', 'Ki:&nbsp0.03\xa0(nM) from 1 assay(s)')"
6YL4,"('OWW', 'Binding MOAD:\xa0 6YL4', 'IC50:&nbsp7\xa0(nM) from 1 assay(s)')"
6YQN,"('P8T', 'Binding MOAD:\xa0 6YQN', 'IC50:&nbsp720\xa0(nM) from 1 assay(s)')"
6YQO,"('P8Q', 'Binding MOAD:\xa0 6YQO', 'IC50:&nbsp4530\xa0(nM) from 1 assay(s)')"
6YQP,"('P8N', 'Binding MOAD:\xa0 6YQP', 'IC50:&nbsp1350\xa0(nM) from 1 assay(s)')"
6YSK,"('PJK', 'Binding MOAD:\xa0 6YSK', 'IC50:&nbsp110\xa0(nM) from 1 assay(s)')"
6YT2,"('PJW', 'Binding MOAD:\xa0 6YT2', 'Ki:&nbsp310\xa0(nM) from 1 assay(s)')"
6YTA,"('IYZ', 'Binding MOAD:\xa0 6YTA', 'Ki:&nbsp229\xa0(nM) from 1 assay(s)')"
6YTD,"('EAE', 'Binding MOAD:\xa0 6YTD', 'Ki:&nbsp671\xa0(nM) from 1 assay(s)')"
6YTE,"('EAE', 'Binding MOAD:\xa0 6YTE', 'Kd:&nbsp75\xa0(nM) from 1 assay(s)')"
